pid,role,iso2,name,af_ids
163,player,us,Sebastian Berhalter,201713
164,player,cd,Aaron Wan-Bissaka,18846
165,player,gh,Jerome Opoku,137223
166,player,gb-sct,George Hirst,8794
167,player,no,Thelo Aasgaard,277930
168,player,gh,Brandon Thomas-Asante,82090
169,player,gb-sct,Tyler Fletcher,557460
170,player,ch,Marvin Keller,123468
171,player,ca,Owen Goodman,284554
172,coach,se,Graham Potter,12
173,coach,nz,Darren Bazeley,
174,player,ma,Achraf Hakimi,9
175,player,ma,Munir Mohamedi,2702
176,player,ma,Ismael Saibari,161897
177,player,ma,Brahim Díaz,744
178,player,gh,Iñaki Williams,47294
179,player,ar,Nico Paz,350037
180,player,uy,Rodrigo Zalazar,108563
181,player,ma,Chadi Riad,278898
182,player,mx,Álvaro Fidalgo,750
183,player,ec,Jeremy Arévalo,350799
184,player,ma,Ayoube Amaimouni,535046
185,coach,qa,Julen Lopetegui,1594
186,coach,pt,Roberto Martínez,48
187,player,cd,Théo Bongonda,8627
188,player,ma,Bilal El Khannouss,340573
189,player,cd,Joris Kayembe,21098
190,player,cd,Noah Sadiki,365331
191,player,qa,Edmilson Junior,42075
192,player,cd,Ngal'ayel Mukau,375598
193,player,dz,Rafik Belghali,303362
194,player,au,Paul Okon-Engstler,441269
195,player,ma,Chemsdine Talbi,336659
196,player,ma,Zakaria El Ouahdi,283252
197,player,cd,Matthieu Epolo,314509
198,coach,za,Hugo Broos,2883
199,coach,ma,Mohamed Ouahbi,28221
200,player,uy,Fernando Muslera,429
201,player,mx,Santiago Giménez,94562
202,player,ec,Hernán Galíndez,16380
203,player,py,Andrés Cubas,6236
204,player,py,Kaku,2514
205,player,py,Juan José Cáceres,195992
206,coach,py,Gustavo Alfaro,861
207,coach,us,Mauricio Pochettino,28250
208,coach,ec,Sebastián Beccacece,856
209,coach,uy,Marcelo Bielsa,105
210,coach,co,Néstor Lorenzo,14213
211,player,ca,Jonathan David,8489
212,player,ht,Derrick Etienne Jr.,50958
213,player,jp,Zion Suzuki,199578
214,player,jo,Mo Abualnadi,102538
215,player,ba,Esmir Bajraktarević,329409
216,player,ht,Duke Lacroix,102505
217,player,mx,Brian Gutiérrez,212233
218,player,mx,Obed Vargas,313383
219,player,uy,Juan Manuel Sanabria,162891
220,player,cv,CJ dos Santos,163200
221,coach,ca,Jesse Marsch,28218
222,player,iq,Amir Al-Ammari,47792
223,player,ba,Dennis Hadžikadunić,53517
224,player,ba,Benjamin Tahirović,264094
225,player,iq,Hussein Ali,145465
226,player,ba,Armin Gigović,70514
227,player,iq,Kevin Yakob,48025
228,player,tr,Deniz Gül,388570
229,player,tn,Moutaz Neffati,375608
230,player,iq,Ahmed Qasem,229112
231,player,gb-eng,Declan Rice,2937
232,player,nz,Joe Bell,94541
233,player,gb-sct,Lewis Ferguson,44814
234,player,gb-eng,Reece James,19545
235,player,gb-sct,Angus Gunn,18933
236,player,gb-eng,Morgan Rogers,19170
237,player,gb-eng,Dean Henderson,19088
238,player,ca,Alfie Jones,18938
