lat,lon,population
18.20118,-63.08998,274
18.23333,-63.0,671
18.17648,-63.09375,942
18.22104,-63.01329,879
39.72833,20.05444,4263
39.87534,20.00477,22613
39.91028,20.09222,2786
39.73278,20.19528,1859
39.65889,20.18139,1349
39.90639,20.05833,1333
39.95111,20.09778,6166
41.50222,20.36056,4111
41.87611,20.32,681
41.80667,20.33611,1051
40.62889,20.05389,4919
40.50722,20.13472,118
41.90833,20.34694,1136
40.29583,20.01917,11955
41.00528,20.42306,2427
41.0975,20.14833,8731
41.53,20.42361,5503
41.09028,20.57639,8421
40.73278,20.03944,2513
40.76333,20.00972,1105
42.09333,20.09056,1548
41.06667,20.53528,4015
41.07306,20.54889,5847
40.48833,20.37333,897
40.61222,20.09806,4318
40.9025,20.6525,46070
40.88111,20.18278,4906
40.19944,20.40611,3243
41.685,20.42858,14710
40.23361,20.35167,7980
40.60333,20.80306,3850
40.70583,20.69972,3735
41.17944,20.315,23312
40.03111,20.26306,3651
40.15139,20.59722,939
40.53694,20.31333,496
41.77972,20.08361,1429
42.07694,20.42194,36125
42.19694,20.41333,4814
41.42278,20.205,1540
40.61861,20.78083,58259
41.50694,20.08667,7873
40.94611,20.00972,3262
40.31306,20.18944,4900
42.1875,20.0025,1129
41.15667,20.39722,5706
40.60833,20.91417,4461
40.86972,20.18444,11556
40.07583,20.13889,23437
42.06222,20.01667,2438
40.33778,20.67889,7890
41.11138,20.08224,100903
40.62917,20.25111,813
40.50417,20.22722,3918
41.61028,20.00889,7928
41.49167,20.22194,26826
42.32639,20.07639,2550
40.6275,20.99,7287
41.73583,20.32417,3055
41.19694,20.33556,12691
40.57111,20.15,1098
39.76889,19.99972,2994
40.70917,19.64972,5236
41.38944,19.8275,9389
41.42972,19.93028,3380
41.34444,19.5475,12381
42.02806,19.54778,1113
41.1475,19.7875,3000
41.39083,19.655,4973
40.4696,19.48379,115261
40.70167,19.93222,8453
40.69722,19.98028,2569
40.76889,19.87778,7232
41.68278,19.89333,1229
41.32744,19.81866,418495
41.5475,19.67778,10719
40.79361,19.88028,1780
41.38056,19.53778,13395
40.71722,19.91778,1043
40.64679,19.86924,3351
42.06828,19.51258,95553
41.34556,19.56722,14138
41.81361,19.59389,6963
40.53056,19.63583,6912
40.80591,19.7516,1249
41.77444,19.78611,2332
41.07639,19.66528,7049
41.7675,19.87556,6773
41.32278,19.51028,20099
40.7375,19.70222,6657
42.04444,19.89972,6495
40.78028,19.84417,7375
40.76713,19.78608,1518
41.25306,19.85306,5542
40.77889,19.92306,9005
41.04611,19.75111,16580
40.64278,19.65083,22679
40.68333,19.61944,16000
41.05167,19.96083,6348
40.74389,19.93528,9218
40.32528,19.47139,2604
40.625,19.46694,8209
41.44417,19.74833,9518
40.64444,19.7925,588
41.26389,19.65583,5035
40.75972,19.90417,1459
41.68389,19.71556,2157
40.35167,19.98028,4951
41.42861,19.59306,7185
41.5775,19.69222,8282
40.79167,19.92889,1637
40.94194,19.705,63135
41.78361,19.64361,18695
40.75472,19.94806,1724
41.63556,19.71306,12854
40.78389,19.78667,9643
40.80028,19.91667,31077
41.50917,19.79278,51191
41.21556,19.97139,1177
40.83083,19.90056,5622
42.22833,19.46667,1259
42.21361,19.43639,4078
41.18556,19.55694,30012
41.38167,19.76028,11026
41.54528,19.6,5001
42.36194,19.44417,1473
40.10167,19.74472,4596
40.82028,19.89694,1214
40.80951,19.78419,1097
40.81194,19.9475,1714
40.96778,19.68528,6994
41.88,19.59139,2000
40.83694,19.92611,1571
41.47833,19.71778,17877
40.71667,19.56667,60995
40.7251,19.55823,56297
40.73194,19.95278,1282
41.32355,19.45469,195920
40.72111,19.99333,1274
40.79183,19.7685,1907
40.99667,19.52944,6713
40.15139,19.63889,1800
40.73028,19.79056,3045
41.03167,19.97583,14269
41.47417,19.65167,4374
40.26778,19.66917,2849
40.70583,19.95222,62232
40.59889,19.73472,4944
40.7025,19.8025,1079
42.25667,19.4275,1033
41.38306,19.66028,1568
40.7625,19.96139,1628
42.35734,20.07679,4113
40.8182,19.99378,3981
40.5082,20.23419,2545
39.63892,45.51111,1386
39.82233,45.04169,1170
39.90539,44.73131,2722
39.83893,44.61951,1572
39.7644,45.33268,7300
39.96515,44.55937,3272
39.88114,44.64917,5065
39.79236,45.36389,1171
39.53117,46.31829,2224
39.91291,44.72083,12060
39.69026,45.46919,5453
39.55826,46.48054,2330
39.90008,44.6889,2739
39.79449,44.77508,2694
39.52191,46.02696,13176
39.90802,44.66721,2281
39.4367,46.31787,2646
39.87403,44.58678,2738
39.94171,44.57233,4387
39.83612,45.30292,1734
39.56499,45.99861,1152
39.76111,45.17792,1510
39.83069,44.66949,2173
39.902,44.63,2784
39.97251,44.53565,1896
38.90123,46.24308,3770
39.73787,45.39058,4585
39.54763,46.53046,1095
39.90289,44.6029,3519
39.51325,46.43141,1922
39.47383,46.35963,1471
39.20762,46.40678,32900
39.98053,44.62512,3066
39.15091,46.15673,6519
39.83948,45.67112,4095
39.92511,44.59729,4104
39.51111,46.34168,17592
39.7807,45.34729,2524
39.76392,45.30829,2373
39.80832,45.10985,1246
39.97539,44.52784,2775
39.98907,44.49785,1996
39.53491,46.30732,1174
39.49742,45.97241,1350
39.97729,44.52127,1919
39.98053,44.51392,1841
39.98608,44.50568,2991
39.95436,44.60229,3215
39.95565,44.59181,1491
39.87327,44.66984,4547
39.85388,44.68016,4946
39.95484,44.54874,22800
39.76672,44.8111,2678
39.72205,45.18392,1997
39.85494,44.6947,17598
39.83166,44.70489,8287
39.56952,45.94452,1121
39.78197,45.22708,1986
39.73608,45.35553,1343
38.86506,46.19463,3035
39.73889,45.26672,1161
39.90005,44.65086,2661
39.91949,44.82507,3261
40.33103,45.14598,4857
40.65973,43.89032,2162
40.03332,44.18048,1485
40.56671,44.79028,1482
40.09168,44.39447,2226
40.12512,45.38068,6529
40.25848,44.73328,1517
40.17765,44.5126,1144700
40.70288,43.77649,1365
40.07233,44.21948,1765
40.20428,45.19209,5337
40.08893,44.16669,2379
40.16557,44.29462,47989
40.32293,44.48418,13238
40.27508,44.30011,4701
41.12081,45.06381,1336
40.27789,44.27508,1159
40.76426,43.77474,1832
40.88044,45.44159,1471
40.13068,45.25293,4498
40.02393,44.5924,1913
39.99731,44.58893,4022
40.55548,44.90832,1499
40.1827,45.73156,12651
40.13722,45.42914,7735
40.05242,44.19014,1138
40.13611,45.33069,3964
40.90698,44.60873,1081
40.34729,44.37512,1767
40.29671,44.205,3107
40.64644,45.31586,1020
